  Updated to 2009012900
  .072  .148  .157  .119  .079  .065  .066  .063  .059  .066  .096
  .173  .282  .235  .129  .060  .035  .031  .022  .015  .015  .015
  .192  .301  .233  .123  .056  .030  .022  .018  .015  .015  .015
  .074  .148  .150  .114  .077  .063  .067  .062  .060  .068  .108
  .178  .287  .233  .127  .058  .035  .030  .021  .015  .015  .015
  .196  .306  .235  .123  .053  .027  .021  .017  .015  .015  .015
  .073  .151  .151  .108  .073  .063  .068  .068  .063  .068  .102
  .181  .288  .234  .128  .059  .035  .030  .023  .016  .015  .015
  .200  .309  .235  .120  .051  .025  .022  .017  .015  .015  .015
  .077  .153  .152  .110  .069  .062  .068  .066  .062  .067  .105
  2009012900  has been     added 
  2009012800  has been     added
  2009012700  has been     added
  2009012600  has been     added
  2009012500  has been     added
  2009012400  has been     added
  2009012300  has been     added
  2009012200  has been     added
  2009012100  has been     added
  2009012000  has been     added
  2009011900  has been     added
  2009011800  has been     added
  2009011700  has been     added
  2009011600  has been     added
  2009011500  has been     added
  2009011400  has been     added
  2009011300  has been     added
  2009011200  has been     added
  2009011100  has been     added
  2009011000  has been     added
  2009010900  has been     added
  2009010800  has been     added
  2009010700  has been not added
  2009010700  has been     added
  2009010600  has been     added
  2009010500  has been     added
  2009010400  has been     added
  2009010300  has been     added
  2009010200  has been     added
  2009010100  has been     added
  2008123100  has been     added
  2008123000  has been     added
  2008122900  has been     added
  2008122800  has been     added
  2008122700  has been     added
  2008122600  has been     added
  2008122500  has been     added
  2008122400  has been     added
  2008122300  has been     added
  2008122200  has been     added
  2008122100  has been     added
  2008122000  has been     added
  2008121900  has been     added
  2008121800  has been     added
  2008121700  has been     added
