0001win 0.7817 0.7777 0.7996  67.30  66.71  61.78  49.43 0.7184 0.7057 0.7049  64.05  64.82  61.69  65.89 
2001spr 0.7488 0.7555 0.7815  61.91  60.48  55.34  43.26 0.7541 0.7493 0.7393  71.05  71.48  69.82  69.89 
2001sum 0.7763 0.7851 0.7953  44.47  44.36  42.19  32.50 0.7664 0.7557 0.7403  74.03  75.14  74.65  71.67 
2001fal 0.8106 0.8056 0.8117  56.62  56.86  54.70  45.84 0.7756 0.7690 0.7429  65.24  65.90  66.60  65.91 
0102win 0.8097 0.8119 0.8174  66.40  65.17  62.59  51.08 0.7732 0.7647 0.7403  60.14  61.32  61.11  63.70 
2002spr 0.7860 0.7872 0.7950  58.97  58.47  55.77  46.55 0.7958 0.7921 0.7456  70.90  71.11  74.53  75.51 
2002sum 0.7711 0.7591 0.7713  46.08  46.79  44.40  34.09 0.7784 0.7802 0.7556  75.37  74.23  74.86  75.79 
2002fal 0.8092 0.8045 0.8201  58.04  58.25  54.90  46.30 0.7877 0.7716 0.7449  65.11  66.83  68.56  69.42 
0203win 0.8243 0.8181 0.8258  64.90  64.64  61.85  50.12 0.7939 0.7739 0.7532  54.60  56.86  57.80  59.36 
2003spr 0.8209 0.8114 0.8236  54.88  56.17  53.34  41.92 0.7831 0.7709 0.7438  65.58  67.23  68.97  66.06 
2003sum 0.7913 0.7920 0.8040  42.70  42.46  40.46  29.63 0.7974 0.7898 0.8086  72.55  72.60  67.64  57.50 
2003fal 0.8175 0.8104 0.8281  59.40  59.55  55.47  44.93 0.8030 0.7870 0.7863  61.46  63.41  61.68  52.69 
0304win 0.8071 0.8058 0.8217  64.53  63.71  59.61  47.71 0.7836 0.7851 0.7892  55.85  55.48  54.13  50.16 
2000sum 0.6009 0.5999 0.6206  57.44  57.29  52.93  41.52 0.6323 0.6259 0.6298  94.23  93.41  86.13  84.93 
2000fal 0.6419 0.6465 0.6674  74.27  72.94  67.10  56.25 0.6098 0.6134 0.5795  84.40  82.11  77.40  81.59 
0001win 0.6928 0.6919 0.7286  79.73  78.64  70.75  56.03 0.6005 0.5941 0.6169  77.20  76.50  69.13  69.62 
2001spr 0.6287 0.6462 0.6878  75.16  72.50  64.57  49.60 0.6624 0.6580 0.6522  83.60  82.99  78.58  74.49 
2001sum 0.6648 0.6855 0.7067  54.19  53.19  49.56  36.44 0.6666 0.6562 0.6511  88.39  88.51  84.56  75.37 
2001fal 0.7207 0.7103 0.7313  69.46  69.67  64.78  52.06 0.6886 0.6862 0.6687  76.25  76.16  73.87  68.81 
0102win 0.7246 0.7281 0.7461  79.32  77.47  72.19  57.15 0.6604 0.6552 0.6510  73.13  73.40  69.55  66.36 
2002spr 0.6685 0.6763 0.6985  72.09  70.60  65.19  52.31 0.7074 0.7061 0.6681  85.25  84.58  84.28  79.03 
