200607 0.7809 0.7774 0.7991  41.08  41.45  38.22  30.74 0.7965 0.7930 0.8127  71.97  72.20  67.04  48.78 
200608 0.8041 0.7963 0.8266  39.27  40.14  36.05  30.53 0.7496 0.7458 0.7762  76.22  76.03  68.46  51.48 
200609 0.8042 0.7926 0.8031  46.28  47.32  44.72  36.99 0.7281 0.7247 0.7646  79.15  78.60  71.38  48.62 
200610 0.8543 0.8404 0.8689  53.95  56.13  49.81  42.29 0.7953 0.8004 0.8330  64.30  63.01  56.98  42.12 
200611 0.8493 0.8474 0.8704  57.95  57.63  52.41  42.86 0.7945 0.7977 0.8348  56.36  56.19  50.33  40.47 
200612 0.8675 0.8617 0.8743  54.25  54.90  51.12  39.23 0.8006 0.8022 0.8346  54.39  54.37  48.61  40.76 
200701 0.8668 0.8597 0.8797  56.10  57.26  51.75  41.13 0.8406 0.8298 0.8634  53.25  55.07  48.86  42.38 
200702 0.8555 0.8536 0.8660  55.57  55.76  52.23  40.45 0.8110 0.8059 0.8359  59.35  59.95  53.87  44.22 
200703 0.8773 0.8732 0.8880  53.73  54.76  50.38  38.68 0.7769 0.7674 0.7974  63.68  65.10  58.49  48.33 
200704 0.8533 0.8555 0.8664  47.62  47.23  44.00  34.48 0.8299 0.8250 0.8459  65.00  65.08  59.76  49.74 
200705 0.8171 0.8174 0.8283  46.49  46.10  44.08  30.80 0.8006 0.8084 0.8304  71.46  69.98  64.68  44.01 
200706 0.8390 0.8508 0.8615  37.90  36.53  34.65  26.33 0.8286 0.8264 0.8391  72.35  73.52  69.07  47.76 
200707 0.8043 0.7795 0.7975  36.29  37.63  35.58  23.57 0.7945 0.7727 0.7951  70.86  73.86  68.64  44.70 
200708 0.8327 0.8163 0.8312  38.91  40.07  37.84  25.78 0.8067 0.8238 0.8436  67.24  64.62  59.78  43.65 
200709 0.8542 0.8397 0.8401  42.40  43.54  43.18  28.78 0.8196 0.8268 0.8390  66.15  63.98  60.52  43.41 
200710 0.8226 0.8042 0.8222  51.93  53.56  50.09  36.02 0.8095 0.7999 0.8031  63.25  64.54  62.48  41.61 
200711 0.8498 0.8388 0.8467  55.46  57.28  55.23  39.71 0.8396 0.8273 0.8378  52.90  53.31  50.98  36.86 
200712 0.8804 0.8594 0.8701  50.66  55.09  52.15  33.41 0.8246 0.8309 0.8428  51.69  49.96  47.38  35.32 
200801 0.8729 0.8719 0.8840  54.00  54.66  51.51  34.95 0.8202 0.8134 0.8256  50.13  50.62  48.12  34.81 
200802 0.8649 0.8511 0.8607  54.39  56.69  54.06  35.58 0.8248 0.8009 0.7949  53.69  55.88  55.44  39.23 
200803 0.8720 0.8563 0.8664  50.22  52.38  49.81  35.45 0.7899 0.7730 0.7839  62.22  63.75  60.28  45.04 
200804 0.8386 0.8276 0.8374  48.49  49.13  47.19  33.82 0.8272 0.8346 0.8531  64.19  64.11  59.22  45.33 
200805 0.8353 0.8203 0.8390  45.60  47.34  44.03  29.96 0.8182 0.8123 0.8331  66.28  66.59  61.79  45.28 
200806 0.8007 0.8059 0.8166  41.67  40.81  38.95  25.66 0.8012 0.8192 0.8340  71.34  68.25  64.02  45.49 
200807 0.7998 0.8036 0.8216  39.01  38.26  35.83  23.79 0.8288 0.8099 0.8321  67.87  71.42  66.12  43.44 
200808 0.8409 0.8041 0.8126  38.97  42.56  40.96  27.04 0.8318 0.8320 0.8482  69.51  69.43  65.18  46.58 
